"bin","age","income"
"60-69",67,36500000
"20-29",25,58000000
"20-29",29,32500000
"20-29",29,57500000
"80-",83,31000000
"40-49",48,54500000
"20-29",24,16500000
"20-29",29,63500000
"30-39",32,73500000
"30-39",30,57000000
"20-29",28,52500000
"30-39",32,64500000
"20-29",23,17000000
"30-39",36,53500000
"20-29",28,57000000
"30-39",30,37000000
"20-29",24,1000000
"20-29",24,20000000
"60-69",69,35500000
"80-",83,19000000
"20-29",24,19500000
"20-29",23,12500000
"20-29",28,57000000
"40-49",44,58000000
"20-29",21,17000000
"20-29",22,25000000
"40-49",44,60500000
"40-49",45,37000000
"30-39",33,59000000
"40-49",42,40500000
"20-29",28,37000000
"30-39",39,34500000
"30-39",39,72500000
"30-39",35,31000000
"60-69",68,19000000
"60-69",69,24500000
"30-39",33,43000000
"20-29",23,15500000
"20-29",24,17500000
"20-29",28,31500000
"80-",88,19500000
"20-29",29,72500000
"30-39",35,55000000
"60-69",60,46000000
"50-59",53,41500000
"30-39",39,60500000
"30-39",33,25000000
"40-49",41,4500000
"80-",83,13500000
"40-49",48,16500000
"20-29",29,64500000
"50-59",55,45500000
"30-39",37,45000000
"40-49",49,24500000
"30-39",32,11000000
"80-",88,12500000
"30-39",37,47500000
"30-39",32,47500000
"50-59",53,56500000
"20-29",26,51000000
"70-79",74,20000000
"40-49",44,50500000
"20-29",25,33000000
"50-59",56,30500000
"80-",84,13000000
"40-49",41,62000000
"30-39",36,47000000
"10-19",19,17000000
"20-29",24,17500000
"20-29",22,13000000
"60-69",68,27500000
"30-39",31,32500000
"30-39",36,43500000
"20-29",20,20000000
"20-29",26,56000000
"40-49",44,28500000
"40-49",41,51500000
"40-49",43,59000000
"30-39",33,35000000
"60-69",68,25000000
"40-49",45,37500000
"50-59",51,49000000
"70-79",73,27000000
"20-29",24,20000000
"30-39",36,52500000
"80-",85,31000000
"50-59",58,51000000
"30-39",36,24500000
"10-19",19,12500000
"50-59",59,54500000
"60-69",61,48000000
"20-29",28,61500000
"30-39",38,71000000
"20-29",21,12000000
"30-39",37,40500000
"80-",88,27000000
"30-39",30,41000000
"20-29",28,52000000
"30-39",37,51500000
"30-39",38,37500000
"20-29",29,42500000
"20-29",24,22000000
"80-",80,32500000
"80-",88,38000000
"20-29",24,12000000
"60-69",63,38500000
"50-59",50,40000000
"30-39",38,34000000
"40-49",46,37500000
"20-29",28,33500000
"30-39",31,56500000
"30-39",35,40000000
"30-39",33,49000000
"40-49",41,61000000
"30-39",30,48500000
"20-29",28,38000000
"70-79",72,31500000
"30-39",34,23000000
"40-49",49,30500000
"20-29",25,40500000
"50-59",51,47500000
"50-59",55,31000000
"30-39",36,27000000
"60-69",63,38500000
"50-59",56,29000000
"30-39",35,23000000
"30-39",37,48000000
"20-29",24,23000000
"60-69",67,20500000
"70-79",74,5000000
"50-59",59,38500000
"30-39",34,61000000
"80-",87,17500000
"30-39",30,57500000
"50-59",54,46000000
"20-29",25,19000000
"40-49",40,23000000
"20-29",25,50000000
"20-29",25,38000000
"30-39",36,47500000
"50-59",50,27000000
"20-29",28,48000000
"60-69",65,21000000
"20-29",23,16500000
"30-39",30,42000000
"50-59",55,41500000
"30-39",30,26500000
"20-29",27,38500000
"30-39",39,50000000
"60-69",61,24000000
"20-29",26,39500000
"20-29",27,43000000
"80-",86,28000000
"40-49",46,50000000
"40-49",40,43500000
"20-29",25,41000000
"50-59",56,50500000
"30-39",31,51500000
"30-39",31,59000000
"30-39",36,33500000
"10-19",18,23500000
"20-29",22,22000000
"40-49",42,59000000
"40-49",48,39500000
"50-59",56,47000000
"20-29",24,23000000
"30-39",34,54500000
"30-39",32,52000000
"30-39",35,38500000
"70-79",74,23500000
"20-29",23,19000000
"20-29",28,51000000
"40-49",42,36000000
"80-",84,23000000
"20-29",28,51000000
"40-49",49,40000000
"20-29",20,24500000
"80-",89,20000000
"30-39",36,40000000
"20-29",24,23000000
"30-39",33,32500000
"30-39",33,57500000
"30-39",32,44000000
"20-29",22,21000000
"30-39",30,38500000
"20-29",28,23000000
"50-59",50,29000000
"40-49",47,29500000
"70-79",73,18500000
"30-39",39,65500000
"40-49",48,40000000
"20-29",23,19000000
"60-69",65,24500000
"30-39",37,81000000
"20-29",23,19500000
"40-49",42,62000000
"20-29",27,61500000
"30-39",35,31000000
"30-39",32,37000000
"30-39",36,38500000
"20-29",28,29000000
"40-49",45,61500000
"60-69",67,25500000
"20-29",24,18000000
"80-",84,32000000
"30-39",32,30500000
"70-79",78,31000000
"40-49",46,32500000
"20-29",24,14500000
"30-39",34,63500000
"50-59",51,31000000
"30-39",32,38000000
"20-29",28,48500000
"30-39",39,50500000
"10-19",18,17500000
"70-79",74,19000000
"20-29",27,35500000
"60-69",65,21500000
"30-39",38,32000000
"30-39",33,42500000
"20-29",29,44500000
"50-59",59,57500000
"60-69",65,26000000
"50-59",50,40500000
"50-59",54,51500000
"50-59",55,49500000
"40-49",46,30000000
"20-29",25,49000000
"20-29",23,13000000
"70-79",76,31500000
"20-29",22,13500000
"30-39",39,48500000
"50-59",54,46000000
"60-69",64,51500000
"50-59",54,26000000
"60-69",63,37500000
"50-59",55,29000000
"40-49",47,60500000
"70-79",71,29500000
"40-49",47,37000000
"20-29",21,15000000
"50-59",57,45500000
"40-49",42,28500000
"60-69",63,41000000
"60-69",65,20000000
"30-39",31,59500000
"60-69",63,38000000
"20-29",28,41000000
"30-39",37,48500000
"80-",80,15500000
"50-59",56,49000000
"50-59",54,13000000
"20-29",20,17000000
"70-79",77,22000000
"20-29",21,22000000
"20-29",29,60000000
"60-69",62,29000000
"40-49",41,55000000
"30-39",38,52500000
"60-69",61,43500000
"20-29",23,18500000
"30-39",34,79000000
"30-39",34,36500000
"30-39",36,60000000
"20-29",27,53000000
"20-29",24,18500000
"30-39",32,33000000
"30-39",39,92500000
"50-59",59,44500000
"20-29",27,43500000
"20-29",23,12500000
"80-",84,22500000
"50-59",58,51000000
"60-69",67,32000000
"80-",83,26500000
"20-29",29,27000000
"60-69",69,37500000
"60-69",67,15500000
"30-39",38,39500000
"20-29",21,24000000
"30-39",31,27500000
"30-39",38,56500000
"60-69",60,25500000
"30-39",30,68000000
"30-39",39,56000000
"60-69",65,34500000
"40-49",45,46000000
"20-29",27,69500000
"30-39",34,41000000
"70-79",77,32000000
"40-49",48,41500000
"50-59",52,32000000
"60-69",67,30500000
"30-39",39,56500000
"20-29",28,72000000
"50-59",50,41000000
"20-29",23,15500000
"30-39",31,35000000
"50-59",56,42000000
"60-69",69,18000000
"40-49",44,51000000
"50-59",51,18000000
"60-69",65,17500000
"60-69",69,42500000
"20-29",23,21500000
"40-49",47,35000000
"30-39",30,34500000
"60-69",64,55500000
"20-29",22,9000000
"30-39",32,47000000
"20-29",20,14000000
"70-79",72,28500000
"20-29",25,37500000
"20-29",25,41500000
"20-29",25,37500000
"50-59",57,35500000
"20-29",20,17000000
"30-39",38,25500000
"40-49",41,39500000
"50-59",50,57500000
"10-19",18,17500000
"20-29",23,27500000
"40-49",45,49000000
"40-49",41,65500000
"60-69",68,33000000
"70-79",79,38500000
"50-59",56,46500000
"50-59",53,52500000
"20-29",24,20000000
"40-49",47,32500000
"30-39",33,48000000
"20-29",25,41500000
"50-59",56,34500000
"20-29",28,52000000
"30-39",33,52500000
"50-59",58,29500000
"20-29",28,36500000
"20-29",26,40500000
"40-49",43,56000000
"30-39",38,62000000
"60-69",69,20000000
"30-39",35,67500000
"20-29",24,21500000
"60-69",69,30500000
"30-39",35,24500000
"50-59",52,51500000
"30-39",36,30500000
"20-29",27,48000000
"40-49",40,49000000
"50-59",56,42500000
"40-49",47,44500000
"30-39",33,82500000
"20-29",22,19500000
"20-29",25,44500000
"80-",87,32500000
"20-29",26,47500000
"40-49",41,16500000
"60-69",62,47500000
"50-59",58,35000000
"60-69",60,46000000
"50-59",52,34500000
"20-29",26,51000000
"40-49",43,37000000
"60-69",67,28000000
"70-79",71,13500000
"20-29",24,14000000
"30-39",33,54000000
"10-19",19,16500000
"80-",88,17000000
"30-39",30,62000000
"20-29",23,19500000
"80-",81,13000000
"20-29",22,18000000
"20-29",23,20500000
"50-59",58,31500000
"30-39",34,25500000
"50-59",51,33000000
"20-29",23,20000000
"70-79",72,24000000
"30-39",33,32500000
"30-39",30,29000000
"20-29",29,39000000
"20-29",23,12500000
"50-59",53,44500000
"40-49",45,47000000
"40-49",40,47000000
"60-69",62,24000000
"20-29",20,14000000
"20-29",24,18500000
"40-49",44,35500000
"30-39",36,36000000
"50-59",52,33000000
"40-49",45,28500000
"50-59",58,38500000
"20-29",22,22000000
"20-29",24,14500000
"40-49",42,54000000
"60-69",60,44000000
"10-19",18,16500000
"20-29",23,22500000
"30-39",31,57000000
"30-39",30,63500000
"40-49",40,55500000
"30-39",31,64000000
"20-29",27,43500000
"40-49",45,49000000
"20-29",27,20000000
"20-29",26,39500000
"30-39",39,52000000
"60-69",65,36000000
"70-79",73,28000000
"50-59",52,47000000
"30-39",38,47500000
"40-49",46,50500000
"40-49",41,65000000
"20-29",28,71500000
"30-39",37,39000000
"30-39",31,39500000
"30-39",31,45500000
"40-49",42,10000000
"30-39",37,47000000
"20-29",28,36000000
"20-29",29,44000000
"30-39",39,54000000
"70-79",71,35000000
"40-49",44,59500000
"40-49",41,56500000
"20-29",27,53500000
"30-39",34,41000000
"60-69",62,38000000
"20-29",21,15500000
"30-39",35,38000000
"20-29",26,66500000
"50-59",58,31500000
"50-59",59,28000000
"30-39",32,42000000
"50-59",53,36000000
"80-",85,32000000
"20-29",23,5500000
"40-49",40,32500000
"20-29",27,32500000
"30-39",39,17500000
"20-29",22,20000000
"10-19",18,33500000
"40-49",41,24500000
"50-59",55,28500000
"30-39",32,19000000
"20-29",22,20500000
"70-79",70,35500000
"50-59",54,53000000
"20-29",20,24500000
"50-59",58,36500000
"30-39",36,56000000
"60-69",63,26000000
"20-29",27,36000000
"30-39",37,48500000
"20-29",25,41000000
"30-39",38,52000000
"80-",80,37000000
"40-49",47,43000000
"40-49",40,43000000
"70-79",73,19000000
"20-29",25,43000000
"20-29",24,14000000
"60-69",67,29500000
"40-49",49,37500000
"20-29",27,56500000
"40-49",43,56000000
"50-59",57,20000000
"30-39",33,21500000
"20-29",21,11000000
"20-29",22,19500000
"40-49",46,38000000
"50-59",50,32500000
"20-29",24,10500000
"20-29",24,21500000
"50-59",57,18000000
"60-69",67,28500000
"20-29",20,9500000
"60-69",69,10000000
"20-29",29,68000000
"70-79",79,26000000
"20-29",28,67000000
"70-79",74,35000000
"40-49",49,43000000
"30-39",37,50500000
"30-39",31,55500000
"30-39",37,49500000
"50-59",55,21500000
"50-59",58,40000000
"20-29",28,47500000
"30-39",36,19500000
"20-29",26,56500000
"10-19",19,19500000
"70-79",73,10500000
"50-59",50,9500000
"60-69",66,19000000
"50-59",50,34500000
"40-49",49,51500000
"60-69",68,40500000
"20-29",26,57500000
"20-29",20,17500000
"20-29",24,23000000
"60-69",67,22000000
"50-59",57,46000000
"30-39",38,64500000
"70-79",70,29000000
"50-59",55,49500000
"50-59",53,16500000
"30-39",32,52000000
"30-39",31,43000000
"20-29",29,40500000
"30-39",30,49500000
"60-69",61,20500000
"30-39",38,68000000
"50-59",51,49000000
"20-29",20,22000000
"60-69",67,24000000
"20-29",25,41500000
"50-59",58,26000000
"70-79",70,32500000
"20-29",24,15500000
"50-59",54,43500000
"60-69",69,33500000
"60-69",64,30500000
"20-29",20,23500000
"80-",88,34500000
"40-49",45,36000000
"30-39",39,51000000
"40-49",44,58500000
"20-29",29,74000000
"20-29",29,64000000
"40-49",49,39500000
"30-39",35,30500000
"40-49",49,69000000
"30-39",31,54000000
"50-59",58,43000000
"20-29",26,38000000
"70-79",73,17500000
"20-29",24,14500000
"30-39",35,50000000
"70-79",75,25500000
"20-29",20,16500000
"40-49",42,36000000
"40-49",47,46500000
"40-49",41,60500000
"40-49",49,31000000
"50-59",51,37000000
"20-29",23,17000000
"60-69",69,24500000
"50-59",58,40500000
"50-59",56,39500000
"20-29",29,66000000
"40-49",48,46000000
"20-29",22,18000000
"10-19",18,17500000
"30-39",30,51000000
"30-39",38,41000000
"70-79",71,28500000
"20-29",23,21500000
"30-39",30,29000000
"40-49",44,28000000
"40-49",41,39500000
"60-69",63,50500000
"50-59",55,61000000
"60-69",64,35000000
"20-29",29,28500000
"20-29",25,48500000
"20-29",27,60500000
"40-49",43,40500000
"20-29",27,61500000
"30-39",36,59500000
"50-59",57,18500000
"40-49",40,52000000
"50-59",54,21000000
"30-39",35,50000000
"20-29",24,15500000
"30-39",30,58000000
"50-59",54,25500000
"20-29",20,22000000
"60-69",69,27500000
"60-69",60,34000000
"40-49",43,57500000
"10-19",18,12500000
"30-39",33,35500000
"20-29",21,8500000
"40-49",41,58000000
"40-49",47,49000000
"30-39",32,44000000
"20-29",29,59500000
"40-49",48,43000000
"20-29",24,10500000
"10-19",19,25000000
"50-59",54,47000000
"40-49",47,46000000
"30-39",32,52500000
"40-49",44,48500000
"10-19",18,20500000
"50-59",52,34000000
"30-39",30,40500000
"30-39",31,44500000
"50-59",55,43500000
"40-49",46,49000000
"30-39",33,56000000
"50-59",59,48500000
"30-39",36,84000000
"50-59",55,18000000
"40-49",46,41000000
"20-29",28,40000000
"50-59",59,13000000
"50-59",54,46500000
"20-29",27,52000000
"50-59",55,38500000
"40-49",48,44000000
"40-49",46,32500000
"40-49",47,43000000
"50-59",52,44000000
"30-39",34,21500000
"20-29",24,23000000
"30-39",34,43000000
"20-29",26,45500000
"60-69",65,17500000
"80-",85,30500000
"60-69",61,23000000
"50-59",54,19000000
"50-59",53,37500000
"30-39",37,28500000
"30-39",34,43500000
"30-39",35,37500000
"20-29",20,14000000
"30-39",31,57500000
"30-39",33,41000000
"20-29",25,50500000
"50-59",50,49000000
"20-29",26,32500000
"80-",88,33500000
"50-59",53,42500000
"60-69",62,50500000
"60-69",69,23000000
"10-19",18,11000000
"50-59",54,34500000
"30-39",39,46000000
"20-29",29,41500000
"40-49",46,44500000
"30-39",30,61000000
"30-39",34,36500000
"20-29",28,44500000
"30-39",38,44000000
"40-49",45,36500000
"30-39",31,37500000
"20-29",22,16500000
"20-29",25,59500000
"40-49",45,14500000
"20-29",24,26000000
"20-29",26,31000000
"20-29",25,52000000
"10-19",18,28000000
"80-",84,36500000
"50-59",56,37500000
"30-39",38,54500000
"20-29",21,20500000
"10-19",18,20500000
"30-39",36,37000000
"60-69",62,33000000
"50-59",57,40000000
"50-59",57,49000000
"70-79",73,22000000
"70-79",75,21500000
"20-29",28,42500000
"30-39",32,49500000
"30-39",32,57500000
"30-39",34,36500000
"40-49",47,50500000
"70-79",78,19500000
"30-39",30,29000000
"50-59",53,48500000
"20-29",29,61500000
"20-29",26,76500000
"30-39",35,67000000
"20-29",26,44500000
"20-29",20,25000000
"70-79",70,37000000
"50-59",50,48000000
"20-29",29,35000000
"50-59",51,36500000
"50-59",57,43500000
"10-19",18,17500000
"50-59",52,14500000
"30-39",32,49000000
"30-39",37,35500000
"50-59",50,41500000
"30-39",36,35000000
"40-49",42,45000000
"20-29",21,24000000
"70-79",70,23000000
"30-39",38,63500000
"40-49",47,27000000
"50-59",56,46500000
"50-59",50,24500000
"30-39",33,31000000
"20-29",27,68000000
"60-69",63,56500000
"50-59",55,37500000
"10-19",18,16000000
"60-69",65,33500000
"50-59",51,43000000
"30-39",35,39000000
"20-29",27,35500000
"60-69",67,30000000
"40-49",41,13500000
"20-29",29,31500000
"30-39",37,26000000
"20-29",26,58000000
"40-49",48,30500000
"30-39",39,61000000
"20-29",23,11000000
"20-29",28,60000000
"30-39",34,46000000
"20-29",20,25000000
"80-",82,31000000
"40-49",46,46000000
"40-49",45,32000000
"60-69",69,23500000
"30-39",36,46500000
"50-59",53,47000000
"30-39",34,30000000
"20-29",21,19500000
"20-29",29,31000000
"30-39",33,69000000
"60-69",62,16500000
"20-29",22,24000000
"30-39",39,51000000
"50-59",50,28000000
"20-29",27,67500000
"50-59",59,42000000
"40-49",47,34500000
"20-29",24,11000000
"20-29",27,54500000
"60-69",68,19000000
"20-29",26,62000000
"70-79",79,25000000
"30-39",36,59000000
"60-69",60,36000000
"60-69",66,32500000
"40-49",41,43500000
"40-49",42,62000000
"80-",82,29500000
"20-29",27,30000000
"20-29",29,62500000
"50-59",55,34000000
"40-49",44,34000000
"80-",83,29000000
"30-39",30,58000000
"40-49",49,16500000
"20-29",23,20000000
"30-39",30,28000000
"20-29",28,39000000
"70-79",70,37500000
"30-39",33,71000000
"50-59",54,34000000
"20-29",24,15500000
"60-69",68,31000000
"70-79",79,27500000
"20-29",21,21500000
"40-49",41,33000000
"30-39",30,56000000
"60-69",60,27500000
"50-59",58,52000000
"20-29",22,20500000
"30-39",33,47000000
"30-39",32,60000000
"50-59",50,56500000
"30-39",36,20500000
"20-29",24,11500000
"20-29",23,19000000
"70-79",70,24000000
"30-39",32,38500000
"20-29",24,28500000
"30-39",30,60000000
"50-59",57,25000000
"40-49",49,36500000
"30-39",33,56500000
"50-59",58,38500000
"20-29",26,43500000
"20-29",27,45500000
"10-19",19,22500000
"40-49",41,43500000
"50-59",53,46500000
"20-29",24,8500000
"20-29",26,52000000
"60-69",68,34500000
"20-29",21,26000000
"30-39",30,37000000
"80-",83,21500000
"50-59",58,38000000
"30-39",31,54500000
"50-59",57,29000000
"20-29",28,46000000
"20-29",21,17500000
"20-29",20,26000000
"50-59",57,27000000
"70-79",70,23500000
"20-29",22,22000000
"80-",84,37500000
"20-29",21,27000000
"40-49",49,29000000
"50-59",50,43500000
"60-69",65,26000000
"50-59",59,30000000
"50-59",55,32500000
"30-39",35,41000000
"30-39",30,46500000
"20-29",27,58000000
"60-69",61,30500000
"50-59",59,38500000
"50-59",55,34000000
"30-39",33,49500000
"50-59",59,36000000
"30-39",30,51000000
"40-49",41,22500000
"50-59",56,40000000
"20-29",26,44000000
"60-69",68,37000000
"30-39",35,20500000
"30-39",32,44500000
"50-59",52,34000000
"20-29",22,30500000
"40-49",49,27500000
"50-59",58,45000000
"50-59",56,53000000
"20-29",28,33500000
"20-29",26,59500000
"20-29",21,16000000
"20-29",21,10500000
"30-39",36,16000000
"60-69",69,29000000
"30-39",39,40000000
"20-29",23,27000000
"10-19",18,25000000
"30-39",38,48500000
"50-59",51,41000000
"20-29",22,17000000
"30-39",30,55500000
"60-69",63,32000000
"30-39",32,30500000
"80-",89,13500000
"30-39",30,41000000
"40-49",49,13000000
"40-49",42,38500000
"20-29",27,45000000
"40-49",43,55000000
"30-39",33,35000000
"50-59",58,54000000
"50-59",51,37000000
"40-49",47,36000000
"20-29",29,47500000
"60-69",68,40500000
"50-59",52,37000000
"30-39",38,51000000
"40-49",44,37000000
"30-39",34,56500000
"30-39",39,43500000
"70-79",77,25500000
"30-39",38,43000000
"50-59",53,38000000
"50-59",50,39000000
"20-29",28,33500000
"20-29",25,53000000
"20-29",26,39000000
"20-29",20,15500000
"20-29",24,9000000
"40-49",49,34500000
"20-29",20,25000000
"10-19",18,15000000
"30-39",33,25000000
"40-49",46,60500000
"20-29",27,44500000
"40-49",41,46500000
"30-39",36,40000000
"30-39",32,67500000
"20-29",25,61500000
"50-59",59,36000000
"20-29",29,37500000
"20-29",21,21500000
"30-39",34,49000000
"20-29",25,97500000
"40-49",41,47500000
"50-59",53,40000000
"30-39",34,54500000
"70-79",77,30500000
"20-29",22,20500000
"50-59",56,41500000
"40-49",40,29000000
"30-39",39,54500000
"60-69",67,24500000
"20-29",28,33500000
"60-69",67,16000000
"20-29",24,14000000
"30-39",32,47000000
"60-69",60,48000000
"20-29",26,23000000
"30-39",34,31500000
"80-",83,23000000
"40-49",43,44000000
"30-39",33,40000000
"40-49",47,43000000
"10-19",19,12000000
"40-49",46,46000000
"20-29",22,11000000
"30-39",34,41500000
"30-39",32,38000000
"30-39",31,64500000
"20-29",27,45000000
"40-49",40,8000000
"30-39",31,57500000
"50-59",52,37500000
"70-79",78,24000000
"20-29",29,46500000
"70-79",78,30000000
"70-79",77,29000000
"50-59",53,33000000
"20-29",22,17500000
"20-29",21,19000000
"50-59",57,29500000
"30-39",33,57000000
"30-39",39,54000000
"60-69",65,19500000
"50-59",58,49500000
"40-49",48,44500000
"70-79",74,32000000
"40-49",44,63000000
"20-29",20,20000000
"40-49",48,38500000
"80-",89,25000000
"70-79",71,35000000
"40-49",46,33000000
"60-69",60,35000000
"30-39",36,51500000
"30-39",38,49000000
"30-39",37,30500000
"60-69",66,25500000
"40-49",47,53500000
"20-29",28,39000000
"50-59",55,61500000
"20-29",23,25500000
"40-49",41,42000000
"20-29",22,11500000
"40-49",46,44000000
"40-49",44,17000000
"30-39",31,36000000
"50-59",50,35500000
"20-29",21,21000000
"50-59",57,46500000
"30-39",38,60500000
"10-19",19,14500000
"20-29",27,45000000
"70-79",78,22000000
"10-19",19,16000000
"20-29",26,35500000
"20-29",23,11000000
"60-69",65,33000000
"60-69",68,24500000
"20-29",24,17000000
"40-49",40,51000000
"40-49",43,51500000
"20-29",29,42000000
"30-39",34,56500000
"40-49",49,54500000
"40-49",46,23000000
"80-",85,25500000
"60-69",67,11000000
"20-29",22,17000000
"80-",84,29000000
"20-29",21,20000000
"40-49",41,47500000
"50-59",54,49500000
"20-29",22,10500000
"20-29",28,70000000
"80-",81,23000000
"30-39",38,62500000
"80-",88,30000000
"20-29",27,74000000
"40-49",44,35000000
"70-79",79,22500000
"80-",84,32000000
"40-49",45,58500000
"30-39",33,61500000
"50-59",59,39500000
"50-59",52,34500000
"40-49",48,60000000
"40-49",47,34000000
"50-59",57,22000000
"40-49",47,33000000
"70-79",74,36000000
"60-69",66,9500000
"30-39",37,65500000
"40-49",48,48500000
"40-49",47,38500000
"20-29",24,15500000
"30-39",37,52500000
"40-49",40,62500000
"20-29",21,18500000
"20-29",22,19500000
"40-49",40,64000000
"20-29",20,14500000
"20-29",20,20500000
"40-49",49,36500000
"30-39",35,22000000
"60-69",68,36500000
"40-49",46,38000000
"40-49",44,38500000
"30-39",30,45000000
"30-39",36,34000000
"30-39",31,52500000
"70-79",76,35000000
"40-49",49,46000000
"20-29",27,31500000
"30-39",38,60500000
"50-59",55,39000000
"30-39",38,45000000
"20-29",22,11500000
"40-49",40,59000000
"50-59",58,36000000
"80-",88,20000000
"70-79",70,16000000
"20-29",26,41000000
"40-49",40,35500000
"30-39",30,36500000
"30-39",35,41500000
"30-39",31,73500000
"30-39",31,36000000
"30-39",33,55500000
"80-",83,18500000
"10-19",18,19000000
"30-39",37,47000000
"10-19",18,15000000
"30-39",35,43000000
"40-49",48,34000000
"20-29",20,27500000
"20-29",24,14500000
"60-69",69,21000000
"20-29",24,19000000
"60-69",63,43000000
"30-39",36,38000000
"20-29",22,14000000
"30-39",33,15000000
"20-29",21,21500000
"10-19",19,17500000
"20-29",27,23000000
"40-49",45,34500000
"30-39",35,41000000
"40-49",40,51500000
"20-29",25,55000000
"20-29",29,34000000
"20-29",29,51000000
"50-59",58,40000000
"30-39",33,40000000
"40-49",45,47000000
"30-39",32,50000000
"60-69",66,38000000
"50-59",54,19500000
"30-39",34,47500000
"20-29",24,12500000
"50-59",54,48500000
"20-29",20,18000000
"30-39",37,38500000
