youtube_adwords,facebook,naver_blog,marketing_total,revenues,employees,pop_density
37488,9658,36058,83204,37378,5,Low
302621,37411,12551,352583,51931,7,Low
274560,21340,73150,369050,49390,9,High
293843,55913,38313,388069,60423,11,Low
220495,30305,14685,265485,51205,6,Low
257928,36168,23958,318054,53328,10,Low
110759,62359,47509,220627,49269,10,High
106997,49027,67177,223201,46717,8,High
180598,29348,40458,250404,49368,8,High
109923,12903,26983,149809,44693,8,High
47608,30008,35618,113234,41998,5,Medium
179377,39567,59587,278531,49467,10,Low
269709,12089,25289,307087,44539,7,Low
164285,53075,27335,244695,54065,10,Medium
278553,47773,92543,418869,56243,10,Medium
118789,21989,36179,176957,42999,5,Medium
30811,51161,62711,144683,37961,6,Low
113135,11055,19855,144045,43065,5,High
270677,68387,16687,355751,63987,10,Low
91399,25179,58069,174647,44979,10,Low
29513,58443,23133,111089,38973,4,Medium
318582,16192,58982,393756,49302,6,Low
33220,40040,11110,84370,38720,3,Low
65142,53152,81532,199826,44902,7,Low
75504,60214,16544,152262,43604,6,Medium
49489,50369,16379,116237,40249,4,High
327811,44671,77231,449713,58091,12,High
69322,36652,29392,135366,41052,7,High
228052,59092,11352,298496,55902,12,Medium
106898,30998,25168,163064,46618,8,Low
241934,53944,96844,392722,58454,10,High
267597,47707,51557,366861,55627,12,Medium
140019,17369,47619,205007,44869,6,Medium
128381,24981,50171,203533,43571,6,Medium
181368,15268,21758,218394,46838,6,Low
288838,18898,19118,326854,47718,8,Medium
292688,65208,58718,416614,61578,12,High
71995,37345,30305,139645,42405,3,High
331760,24420,48510,404690,49170,6,High
158917,21197,64207,244321,47047,6,High
214082,55462,51942,321486,55022,10,Medium
228404,31174,17094,276672,47454,6,Low
26015,20405,12595,59015,33495,3,Low
129470,60170,66550,256190,51480,10,Low
193160,15950,39930,249040,47960,7,High
38709,52569,60379,151657,42339,5,Medium
170423,31933,48433,250789,48213,7,Low
215028,31328,43868,290224,49588,10,Low
123090,54340,67870,245300,51920,7,High
204985,51755,18095,274835,53405,8,Low
155408,28798,17248,201454,48048,7,Low
283811,15741,103961,403513,47421,9,Low
42757,50567,31647,124971,40337,4,Medium
250701,15081,29381,295163,45111,10,Low
263791,38951,75031,377773,54131,10,Low
337447,22517,16577,376541,49687,10,Medium
203533,31713,59543,294789,47003,7,Low
48543,35233,30503,114279,43813,4,Medium
207273,15983,20933,244189,43373,7,Low
272525,17765,27115,317405,49005,7,Low
330550,65890,56760,453200,64130,9,High
212740,20240,49060,282040,46860,9,Low
328130,12430,34650,375210,45210,10,High
206877,21857,28897,257631,47047,6,High
197340,14080,19030,230450,45100,9,Low
262977,14707,37587,315271,44517,10,Medium
87131,17721,42801,147653,43351,4,Low
338173,55253,85613,479039,59103,11,Low
302544,32934,41184,376662,51194,9,Low
248369,58619,29249,336237,56199,10,Medium
176869,11869,37499,226237,43219,4,Medium
238337,45837,32967,317141,55627,12,Medium
339262,26092,13552,378906,50622,9,Low
47806,26686,37796,112288,43076,6,Medium
71456,59356,19206,150018,48356,9,High
107459,22429,15829,145717,43769,7,High
40645,12375,41305,94325,36685,7,Low
207295,56155,12595,276045,53845,9,Low
191477,52107,18227,261811,54307,12,High
65846,14036,23826,103708,40656,4,Low
129701,17611,19811,167123,45221,7,Low
339658,60038,85338,485034,64218,10,Medium
