"³¯Â¥","°èÀý","ÈÞÀÏ¿©ºÎ","±Ù¹«¿©ºÎ","³¯¾¾»óÈ²","±â¿Â..C.","Ç³¼Ó.m.s.","½Àµµ...","Àû¼³.cm.","ÀÏÀÏÈ¸¿ø","Á¤±âÈ¸¿ø","ÃÑ.»ç¿ëÀÚ.¼ö","°æ·Î"
2018-01-01 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",0.8,1.9,34,0,15,52,67,"facebook page"
2018-01-01 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",-0.1,1.3,39,0,9,26,35,"web"
2018-01-01 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",-0.3,1.2,40,0,6,31,37,"web"
2018-01-01 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-0.9,1.2,44,0,11,25,36,"youtube"
2018-01-01 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-1.3,0.8,48,0,3,31,34,"web"
2018-01-01 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-1.6,0.7,51,0,11,17,28,"youtube"
2018-01-02 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-1.8,1.1,54,0,15,24,39,"facebook page"
2018-01-02 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-2.1,0.8,56,0,4,13,17,"youtube"
2018-01-02 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-2.3,0.9,62,0,1,16,17,"twitter"
2018-01-02 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-2.5,0.4,62,0,1,8,9,"unknown"
2018-01-02 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-2.7,0.5,67,0,2,4,6,"web"
2018-01-02 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-3.1,0.6,67,0,2,1,3,"youtube"
2018-01-02 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",-3.2,0.4,67,0,0,2,2,"web"
2018-01-02 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-3.2,0.5,69,0,0,1,1,"web"
2018-01-02 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",-3.4,0.8,71,0,0,8,8,"web"
2018-01-02 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-3.1,0.2,66,0,1,19,20,"unknown"
2018-01-02 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-1.4,1.9,50,0,7,46,53,"direct"
2018-01-02 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-0.4,2.3,40,0,16,54,70,"web"
2018-01-02 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",0.9,1.9,29,0,20,73,93,"unknown"
2018-01-02 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1.5,3.6,23,0,11,64,75,"web"
2018-01-02 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",1.7,4.4,20,0,4,55,59,"naver blog"
2018-01-02 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",1.5,3,22,0,19,55,74,"naver blog"
2018-01-02 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",1.3,2.9,23,0,9,67,76,"direct"
2018-01-02 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",0.3,2.6,27,0,7,58,65,"web"
2018-01-02 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",-0.8,2.3,24,0,10,43,53,"facebook page"
2018-01-02 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-1.3,2.4,28,0,1,29,30,"youtube"
2018-01-02 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-1.9,2.2,26,0,5,17,22,"youtube"
2018-01-02 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-2.6,2,28,0,11,20,31,"youtube"
2018-01-02 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-3.4,2.4,33,0,0,9,9,"youtube"
2018-01-02 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",-3.8,2.3,35,0,0,8,8,"web"
2018-01-03 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.3,1.4,38,0,0,5,5,"direct"
2018-01-03 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5,1.2,42,0,0,2,2,"direct"
2018-01-03 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.5,2,43,0,0,1,1,"naver blog"
2018-01-03 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.1,1.3,45,0,0,3,3,"youtube"
2018-01-03 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.1,2.3,45,0,0,30,30,"twitter"
2018-01-03 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.4,2.4,47,0,1,63,64,"web"
2018-01-03 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.7,2.4,48,0,1,153,154,"facebook page"
2018-01-03 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.9,2.4,48,0,7,81,88,"web"
2018-01-03 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7,1.5,49,0,11,33,44,"youtube"
2018-01-03 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.8,1.7,44,0,10,41,51,"naver blog"
2018-01-03 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.6,2.9,38,0,13,48,61,"web"
2018-01-03 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.5,3.2,36,0,8,53,61,"youtube"
2018-01-03 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.4,3.1,32,0,11,66,77,"web"
2018-01-03 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.2,2.3,31,0,14,58,72,"web"
2018-01-03 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.5,2.8,30,0,9,67,76,"facebook page"
2018-01-03 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.1,2.8,29,0,11,146,157,"web"
2018-01-03 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-0.4,2,30,0,9,148,157,"web"
2018-01-03 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.9,1.8,35,0,8,102,110,"youtube"
2018-01-03 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.1,2.1,39,0,3,49,52,"web"
2018-01-03 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.7,2,41,0,3,49,52,"web"
2018-01-03 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.9,2.5,44,0,0,20,20,"facebook page"
2018-01-03 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.3,2.8,47,0,1,11,12,"direct"
2018-01-03 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.2,1.3,53,0,0,5,5,"direct"
2018-01-03 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.9,0.8,54,0,0,2,2,"unknown"
2018-01-04 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.3,1.4,54,0,0,1,1,"youtube"
2018-01-04 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.9,2.3,56,0,0,2,2,"web"
2018-01-04 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7.3,2,57,0,0,4,4,"youtube"
2018-01-04 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7.4,1.7,54,0,0,36,36,"facebook page"
2018-01-04 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7.5,1.3,55,0,2,92,94,"youtube"
2018-01-04 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7.6,1.3,49,0,2,177,179,"web"
2018-01-04 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7.6,2.3,47,0,2,98,100,"web"
2018-01-04 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-8.1,0.5,51,0,5,37,42,"direct"
2018-01-04 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-8.6,0.6,55,0,7,50,57,"web"
2018-01-04 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-7.9,1.2,48,0,12,66,78,"direct"
2018-01-04 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.4,1,43,0,18,79,97,"direct"
2018-01-04 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.4,0.8,40,0,9,54,63,"web"
2018-01-04 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.9,0.9,33,0,17,48,65,"unknown"
2018-01-04 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2,1,32,0,15,68,83,"facebook page"
2018-01-04 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-0.8,1.4,32,0,10,202,212,"youtube"
2018-01-04 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.2,0.8,31,0,3,179,182,"direct"
2018-01-04 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.4,1.8,34,0,2,110,112,"facebook page"
2018-01-04 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.1,1.4,37,0,1,53,54,"web"
2018-01-04 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.6,1.4,38,0,0,48,48,"youtube"
2018-01-04 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.7,1.4,39,0,1,34,35,"direct"
2018-01-04 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.8,1.7,39,0,2,9,11,"twitter"
2018-01-04 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.1,2,41,0,0,6,6,"direct"
2018-01-04 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.6,1.3,46,0,0,6,6,"web"
2018-01-04 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4,1.5,48,0,0,2,2,"twitter"
2018-01-05 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.7,1.8,52,0,0,2,2,"twitter"
2018-01-05 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.1,1.5,51,0,0,3,3,"youtube"
2018-01-05 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.3,1.6,52,0,0,33,33,"web"
2018-01-05 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.5,1.1,56,0,1,87,88,"web"
2018-01-05 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.1,1.7,55,0,3,192,195,"twitter"
2018-01-05 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.1,1.5,55,0,6,109,115,"web"
2018-01-05 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.1,1.3,54,0,4,53,57,"youtube"
2018-01-05 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.3,1.1,53,0,12,34,46,"facebook page"
2018-01-05 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.3,1,51,0,5,74,79,"web"
2018-01-05 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.7,1.2,49,0,6,65,71,"web"
2018-01-05 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.3,1.3,50,0,10,52,62,"twitter"
2018-01-05 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-0.7,1.5,45,0,7,55,62,"youtube"
2018-01-05 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-0.3,2.2,45,0,4,85,89,"twitter"
2018-01-05 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",0.9,2,43,0,4,186,190,"web"
2018-01-05 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1.4,2,41,0,3,166,169,"web"
2018-01-05 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1.5,2.8,34,0,5,127,132,"twitter"
2018-01-05 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1,2.9,34,0,7,82,89,"web"
2018-01-05 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-0.6,3.3,45,0,3,40,43,"web"
2018-01-05 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.8,2.2,44,0,1,41,42,"twitter"
2018-01-05 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-2.5,0.6,49,0,1,18,19,"unknown"
2018-01-05 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.4,1.1,51,0,0,11,11,"unknown"
2018-01-05 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.5,0.9,53,0,0,4,4,"twitter"
2018-01-05 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.8,1.3,53,0,0,2,2,"youtube"
2018-01-05 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-3.6,1.9,50,0,0,1,1,"web"
2018-01-06 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-4.3,1.6,52,0,0,4,4,"web"
2018-01-06 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-4.8,1.2,54,0,0,36,36,"youtube"
2018-01-06 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-5.5,1.4,56,0,0,95,95,"youtube"
2018-01-06 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.6,1,56,0,3,216,219,"youtube"
2018-01-06 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-5.9,1.1,61,0,6,116,122,"twitter"
2018-01-06 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.1,1,64,0,3,42,45,"facebook page"
2018-01-06 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.5,0.7,67,0,2,57,59,"twitter"
2018-01-06 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.6,1,65,0,6,78,84,"youtube"
2018-01-06 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-6.5,1.1,62,0,12,55,67,"direct"
2018-01-06 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.8,1.4,49,0,11,59,70,"direct"
2018-01-06 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.5,2,39,0,8,54,62,"youtube"
2018-01-06 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-1.6,2.1,35,0,12,74,86,"unknown"
2018-01-06 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",0,2.3,35,0,9,163,172,"web"
2018-01-06 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",0.9,2.4,28,0,5,158,163,"unknown"
2018-01-06 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1.8,2,29,0,3,109,112,"web"
2018-01-06 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",2.3,2.2,27,0,3,66,69,"youtube"
2018-01-06 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",2.7,2.2,27,0,0,48,48,"twitter"
2018-01-06 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",1.1,1.7,31,0,1,51,52,"web"
2018-01-06 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-0.6,1.6,37,0,4,19,23,"unknown"
2018-01-06 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-1.2,1.2,37,0,4,13,17,"web"
2018-01-06 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-2.1,1.1,41,0,2,5,7,"unknown"
2018-01-06 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-2.5,0.8,47,0,0,1,1,"facebook page"
2018-01-06 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-2.6,1.6,47,0,0,1,1,"web"
2018-01-06 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¾àÇÑ ´« ºñ",-3.2,0.8,50,0,0,5,5,"direct"
2018-01-07 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-3.8,0.7,48,0,8,26,34,"facebook page"
2018-01-07 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-3.9,0.2,51,0,8,76,84,"youtube"
2018-01-07 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.4,0.3,53,0,20,190,210,"web"
2018-01-07 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-4.8,0.6,56,0,9,125,134,"naver blog"
2018-01-07 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",-5.1,0.7,60,0,16,47,63,"web"
2018-01-07 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-5.6,0.7,58,0,19,48,67,"direct"
2018-01-07 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-5.5,0.7,52,0,9,50,59,"youtube"
2018-01-07 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-5.6,0.9,58,0,9,64,73,"web"
2018-01-07 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-5.3,1.1,53,0,7,43,50,"naver blog"
2018-01-07 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-3.8,1.6,49,0,9,63,72,"facebook page"
2018-01-07 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",-1.8,1.8,40,0,5,82,87,"youtube"
2018-01-07 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",0.5,1.4,35,0,9,178,187,"youtube"
2018-01-07 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1.1,0.9,34,0,7,116,123,"web"
2018-01-07 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1.4,0.8,34,0,3,92,95,"youtube"
2018-01-07 14:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",1.9,0.7,32,0,1,50,51,"twitter"
2018-01-07 15:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","¸¼À½",2.7,0.9,31,0,0,39,39,"web"
2018-01-07 16:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",2.6,1,32,0,2,34,36,"web"
2018-01-07 17:00:00,"°Ü¿ï","¾Æ´Ï¿ä","³×","Èå¸²",2.3,0.2,33,0,1,14,15,"youtube"
2018-01-07 18:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1.8,1.2,34,0,1,24,25,"twitter"
2018-01-07 19:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1.6,1,35,0,1,15,16,"web"
2018-01-07 20:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1.3,0.4,38,0,3,13,16,"direct"
2018-01-07 21:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",1.2,0.6,39,0,0,7,7,"web"
2018-01-07 22:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",1.1,0.5,40,0,0,1,1,"youtube"
2018-01-07 23:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1.1,0.6,39,0,0,5,5,"direct"
2018-01-08 00:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",0.9,1.1,42,0,0,2,2,"facebook page"
2018-01-08 01:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",0.9,0.2,42,0,1,8,9,"twitter"
2018-01-08 02:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",0.8,0.5,42,0,0,15,15,"web"
2018-01-08 03:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¾àÇÑ ´« ºñ",0.9,0.4,43,0,0,20,20,"twitter"
2018-01-08 04:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",1,0.8,43,0,5,56,61,"direct"
2018-01-08 05:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",0.8,1,42,0,2,60,62,"youtube"
2018-01-08 06:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","Èå¸²",0.8,0.7,45,0,8,90,98,"youtube"
2018-01-08 07:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",0.7,0.8,44,0,7,95,102,"youtube"
2018-01-08 08:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",0.7,0.7,45,0,12,83,95,"direct"
2018-01-08 09:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",0.8,0.9,47,0,5,69,74,"direct"
2018-01-08 10:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",1.3,0.8,43,0,8,68,76,"web"
2018-01-08 11:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",1.7,0.6,37,0,5,64,69,"facebook page"
2018-01-08 12:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",2.7,2.7,33,0,3,52,55,"naver blog"
2018-01-08 13:00:00,"°Ü¿ï","¾Æ´Ï¿ä","¾Æ´Ï¿ä","¸¼À½",3,1.6,32,0,4,26,30,"web"
