유튜브광고_예산,페이스북광고_예산,네이버블로그광고_예산,총_마케팅_예산,수익,종업원_수,타겟시장_인구밀도
157326.84,68702.04,71553.24,297582.12,55871.64,10,High
189901.8,21205.8,25007.4,236115,52806.6,8,Medium
288743.4,54945,83813.4,427501.8,62310.6,10,Medium
324240.84,54564.84,95669.64,474475.32,61692.84,9,Medium
156982.32,31054.32,25945.92,213982.56,52200.72,10,High
224912.16,53483.76,77362.56,355758.48,60136.56,12,Medium
261288.72,15729.12,17154.72,294172.56,49587.12,8,Low
373020.12,64140.12,73287.72,510447.96,68179.32,12,Low
186872.4,60825.6,64389.6,312087.6,55836,7,Low
289848.24,15776.64,68405.04,374029.92,48684.24,7,Medium
381348,57380.4,132699.6,571428,66646.8,12,High
357492.96,21645.36,33644.16,412782.48,51345.36,9,Medium
311826.24,54624.24,18746.64,385197.12,62583.84,9,High
187763.4,64092.6,77635.8,329491.8,55895.4,8,High
54671.76,23070.96,43860.96,121603.68,42672.96,6,Low
131511.6,9504,35283.6,176299.2,43599.6,6,High
40487.04,10430.64,38942.64,89860.32,40368.24,5,Low
326830.68,40403.88,13555.08,380789.64,56085.48,7,Low
296524.8,23047.2,79002,398574,53341.2,9,High
317350.44,60386.04,41378.04,419114.52,65256.84,11,Low
238134.6,32729.4,15859.8,286723.8,55301.4,6,Low
278562.24,39061.44,25874.64,343498.32,57594.24,10,Low
119619.72,67347.72,51309.72,238277.16,53210.52,10,High
115556.76,52949.16,72551.16,241057.08,50454.36,8,High
195045.84,31695.84,43694.64,270436.32,53317.44,8,High
118716.84,13935.24,29141.64,161793.72,48268.44,8,High
51416.64,32408.64,38467.44,122292.72,45357.84,5,Medium
193727.16,42732.36,64353.96,300813.48,53424.36,10,Low
291285.72,13056.12,27312.12,331653.96,48102.12,7,Low
177427.8,57321,29521.8,264270.6,58390.2,10,Medium
300837.24,51594.84,99946.44,452378.52,60742.44,10,Medium
128292.12,23748.12,39073.32,191113.56,46438.92,5,Medium
33275.88,55253.88,67727.88,156257.64,40997.88,6,Low
122185.8,11939.4,21443.4,155568.6,46510.2,5,High
292331.16,73857.96,18021.96,384211.08,69105.96,10,Low
98710.92,27193.32,62714.52,188618.76,48577.32,10,Low
31874.04,63118.44,24983.64,119976.12,42090.84,4,Medium
344068.56,17487.36,63700.56,425256.48,53246.16,6,Low
35877.6,43243.2,11998.8,91119.6,41817.6,3,Low
70353.36,57404.16,88054.56,215812.08,48494.16,7,Low
81544.32,65031.12,17867.52,164442.96,47092.32,6,Medium
53448.12,54398.52,17689.32,125535.96,43468.92,4,High
354035.88,48244.68,83409.48,485690.04,62738.28,12,High
74867.76,39584.16,31743.36,146195.28,44336.16,7,High
246296.16,63819.36,12260.16,322375.68,60374.16,12,Medium
115449.84,33477.84,27181.44,176109.12,50347.44,8,Low
261288.72,58259.52,104591.52,424139.76,63130.32,10,High
289004.76,51523.56,55681.56,396209.88,60077.16,12,Medium
151220.52,18758.52,51428.52,221407.56,48458.52,6,Medium
138651.48,26979.48,54184.68,219815.64,47056.68,6,Medium
195877.44,16489.44,23498.64,235865.52,50585.04,6,Low
311945.04,20409.84,20647.44,353002.32,51535.44,8,Medium
316103.04,70424.64,63415.44,449943.12,66504.24,12,High
77754.6,40332.6,32729.4,150816.6,45797.4,3,High
358300.8,26373.6,52390.8,437065.2,53103.6,6,High
171630.36,22892.76,69343.56,263866.68,50810.76,6,High
231208.56,59898.96,56097.36,347204.88,59423.76,10,Medium
246676.32,33667.92,18461.52,298805.76,51250.32,6,Low
28096.2,22037.4,13602.6,63736.2,36174.6,3,Low
139827.6,64983.6,71874,276685.2,55598.4,10,Low
208612.8,17226,43124.4,268963.2,51796.8,7,High
41805.72,56774.52,65209.32,163789.56,45726.12,5,Medium
184056.84,34487.64,52307.64,270852.12,52070.04,7,Low
232230.24,33834.24,47377.44,313441.92,53555.04,10,Low
132937.2,58687.2,73299.6,264924,56073.6,7,High
221383.8,55895.4,19542.6,296821.8,57677.4,8,Low
167840.64,31101.84,18627.84,217570.32,51891.84,7,Low
306515.88,17000.28,112277.88,435794.04,51214.68,9,Low
46177.56,54612.36,34178.76,134968.68,43563.96,4,Medium
270757.08,16287.48,31731.48,318776.04,48719.88,10,Low
284894.28,42067.08,81033.48,407994.84,58461.48,10,Low
364442.76,24318.36,17903.16,406664.28,53661.96,10,Medium
219815.64,34250.04,64306.44,318372.12,50763.24,7,Low
52426.44,38051.64,32943.24,123421.32,47318.04,4,Medium
223854.84,17261.64,22607.64,263724.12,46842.84,7,Low
294327,19186.2,29284.2,342797.4,52925.4,7,Low
356994,71161.2,61300.8,489456,69260.4,9,High
229759.2,21859.2,52984.8,304603.2,50608.8,9,Low
354380.4,13424.4,37422,405226.8,48826.8,10,High
223427.16,23605.56,31208.76,278241.48,50810.76,6,High
213127.2,15206.4,20552.4,248886,48708,9,Low
284015.16,15883.56,40593.96,340492.68,48078.36,10,Medium
94101.48,19138.68,46225.08,159465.24,46819.08,4,Low
365226.84,59673.24,92462.04,517362.12,63831.24,11,Low
326747.52,35568.72,44478.72,406794.96,55289.52,9,Low
268238.52,63308.52,31588.92,363135.96,60694.92,10,Medium
191018.52,12818.52,40498.92,244335.96,46676.52,4,Medium
257403.96,49503.96,35604.36,342512.28,60077.16,12,Medium
366402.96,28179.36,14636.16,409218.48,54671.76,9,Low
51630.48,28820.88,40819.68,121271.04,46522.08,6,Medium
77172.48,64104.48,20742.48,162019.44,52224.48,9,High
116055.72,24223.32,17095.32,157374.36,47270.52,7,High
43896.6,13365,44609.4,101871,39619.8,7,Low
223878.6,60647.4,13602.6,298128.6,58152.6,9,Low
206795.16,56275.56,19685.16,282755.88,58651.56,12,High
71113.68,15158.88,25732.08,112004.64,43908.48,4,Low
140077.08,19019.88,21395.88,180492.84,48838.68,7,Low
366830.64,64841.04,92165.04,523836.72,69355.44,10,Medium
