날짜,계절,휴일여부,근무여부,날씨상황,기온(°C),풍속(m/s),습도(%),적설(cm),일일회원,정기회원,총 사용자 수,경로
2018-01-04 12:00,4,0,1,1,-2.9,0.9,33,,17,48,65,NA
2018-01-04 13:00,4,0,1,1,-2,1,32,,15,68,83,facebook page
2018-01-04 14:00,4,0,1,1,-0.8,1.4,32,,10,202,212,Youtube
2018-01-04 15:00,4,0,1,1,-1.2,0.8,31,,3,179,182,direct
2018-01-04 16:00,4,0,1,1,-1.4,1.8,34,,2,110,112,facebook page
2018-01-04 17:00,4,0,1,1,-2.1,1.4,37,,1,53,54,www.google.com
2018-01-04 18:00,4,0,1,1,-2.6,1.4,38,,0,48,48,Youtube
2018-01-04 19:00,4,0,1,1,-2.7,1.4,39,,1,34,35,direct
2018-01-04 20:00,4,0,1,1,-2.8,1.7,39,,2,9,11,Twitter
2018-01-04 21:00,4,0,1,1,-3.1,2,41,,0,6,6,direct
2018-01-04 22:00,4,0,1,1,-3.6,1.3,46,,0,6,6,www.google.com
2018-01-04 23:00,4,0,1,1,-4,1.5,48,,0,2,2,Twitter
2018-01-05 0:00,4,0,1,1,-4.7,1.8,52,,0,2,2,Twitter
2018-01-05 1:00,4,0,1,1,-5.1,1.5,51,,0,3,3,Youtube
2018-01-05 2:00,4,0,1,1,-5.3,1.6,52,,0,33,33,www.bing.com
2018-01-05 3:00,4,0,1,1,-5.5,1.1,56,,1,87,88,www.google.com
2018-01-05 4:00,4,0,1,1,-5.1,1.7,55,,3,192,195,Twitter    
2018-01-05 5:00,4,0,1,1,-5.1,1.5,55,,6,109,115,www.instagram.com
2018-01-05 6:00,4,0,1,1,-5.1,1.3,54,,4,53,57,Youtube
2018-01-05 7:00,4,0,1,1,-5.3,1.1,53,,12,34,46,facebook page
2018-01-05 8:00,4,0,1,1,-5.3,1,51,,5,74,79,www.instagram.com
2018-01-05 9:00,4,0,1,1,-4.7,1.2,49,,6,65,71,www.daum.com
2018-01-05 10:00,4,0,1,1,-3.3,1.3,50,,10,52,62,Twitter
2018-01-05 11:00,4,0,1,1,-0.7,1.5,45,,7,55,62,Youtube
2018-01-05 12:00,4,0,1,1,-0.3,2.2,45,,4,85,89,Twitter    
2018-01-05 13:00,4,0,1,1,0.9,2,43,,4,186,190,www.daum.com
2018-01-05 14:00,4,0,1,1,1.4,2,41,,3,166,169,www.bing.com
2018-01-05 15:00,4,0,1,1,1.5,2.8,34,,5,127,132,Twitter
2018-01-05 16:00,4,0,1,1,1,2.9,34,,7,82,89,www.instagram.com
2018-01-05 17:00,4,0,1,1,-0.6,3.3,45,,3,40,43,www.bing.com
2018-01-05 18:00,4,0,1,1,-1.8,2.2,44,,1,41,42,Twitter    
2018-01-05 19:00,4,0,1,1,-2.5,0.6,49,,1,18,19,NA
2018-01-05 20:00,4,0,1,1,-3.4,1.1,51,,0,11,11,NA
2018-01-05 21:00,4,0,1,1,-3.5,0.9,53,,0,4,4,Twitter    
2018-01-05 22:00,4,0,1,1,-3.8,1.3,53,,0,2,2,Youtube
2018-01-05 23:00,4,0,1,2,-3.6,1.9,50,,0,1,1,www.daum.com
2018-01-06 0:00,4,0,1,2,-4.3,1.6,52,,0,4,4,www.daum.com
2018-01-06 1:00,4,0,1,2,-4.8,1.2,54,,0,36,36,Youtube
2018-01-06 2:00,4,0,1,2,-5.5,1.4,56,,0,95,95,Youtube
2018-01-06 3:00,4,0,1,1,-5.6,1,56,,3,216,219,Youtube
2018-01-06 4:00,4,0,1,2,-5.9,1.1,61,,6,116,122,Twitter    
2018-01-06 5:00,4,0,1,1,-6.1,1,64,,3,42,45,facebook page
2018-01-06 6:00,4,0,1,1,-6.5,0.7,67,,2,57,59,Twitter
2018-01-06 7:00,4,0,1,1,-6.6,1,65,,6,78,84,Youtube
2018-01-06 8:00,4,0,1,1,-6.5,1.1,62,,12,55,67,direct
2018-01-06 9:00,4,0,1,1,-5.8,1.4,49,,11,59,70,direct
2018-01-06 10:00,4,0,1,1,-3.5,2,39,,8,54,62,Youtube
2018-01-06 11:00,4,0,1,1,-1.6,2.1,35,,12,74,86,NA
2018-01-06 12:00,4,0,1,1,0,2.3,35,,9,163,172,www.bing.com
2018-01-06 13:00,4,0,1,1,0.9,2.4,28,,5,158,163,NA
2018-01-06 14:00,4,0,1,1,1.8,2,29,,3,109,112,www.daum.com
2018-01-06 15:00,4,0,1,1,2.3,2.2,27,,3,66,69,Youtube
2018-01-06 16:00,4,0,1,2,2.7,2.2,27,,0,48,48,Twitter    
2018-01-06 17:00,4,0,1,2,1.1,1.7,31,,1,51,52,www.instagram.com
2018-01-06 18:00,4,0,1,2,-0.6,1.6,37,,4,19,23,NA
2018-01-06 19:00,4,0,1,2,-1.2,1.2,37,,4,13,17,www.instagram.com
2018-01-06 20:00,4,0,1,2,-2.1,1.1,41,,2,5,7,NA
2018-01-06 21:00,4,0,1,2,-2.5,0.8,47,,0,1,1,facebook page
2018-01-06 22:00,4,0,1,2,-2.6,1.6,47,,0,1,1,www.instagram.com
2018-01-06 23:00,4,0,1,3,-3.2,0.8,50,,0,5,5,direct
2018-01-07 0:00,4,0,1,2,-3.8,0.7,48,,8,26,34,facebook page
2018-01-07 1:00,4,0,1,1,-3.9,0.2,51,,8,76,84,Youtube
2018-01-07 2:00,4,0,1,1,-4.4,0.3,53,,20,190,210,www.google.com
2018-01-07 3:00,4,0,1,1,-4.8,0.6,56,,9,125,134,NAVER Blog
2018-01-07 4:00,4,0,1,1,-5.1,0.7,60,,16,47,63,www.google.com
2018-01-07 5:00,4,0,1,2,-5.6,0.7,58,,19,48,67,direct
2018-01-07 6:00,4,0,1,2,-5.5,0.7,52,,9,50,59,Youtube
2018-01-07 7:00,4,0,1,2,-5.6,0.9,58,,9,64,73,www.google.com
2018-01-07 8:00,4,0,1,2,-5.3,1.1,53,,7,43,50,NAVER Blog
2018-01-07 9:00,4,0,1,2,-3.8,1.6,49,,9,63,72,facebook page
2018-01-07 10:00,4,0,1,2,-1.8,1.8,40,,5,82,87,Youtube
2018-01-07 11:00,4,0,1,2,0.5,1.4,35,,9,178,187,Youtube
2018-01-07 12:00,4,0,1,1,1.1,0.9,34,,7,116,123,www.google.com
2018-01-07 13:00,4,0,1,1,1.4,0.8,34,,3,92,95,Youtube
2018-01-07 14:00,4,0,1,1,1.9,0.7,32,,1,50,51,Twitter    
2018-01-07 15:00,4,0,1,1,2.7,0.9,31,,0,39,39,www.google.com
2018-01-07 16:00,4,0,1,2,2.6,1,32,,2,34,36,www.naver.com
2018-01-07 17:00,4,0,1,2,2.3,0.2,33,,1,14,15,Youtube
2018-01-07 18:00,4,0,0,2,1.8,1.2,34,,1,24,25,Twitter    
2018-01-07 19:00,4,0,0,2,1.6,1,35,,1,15,16,www.bing.com
2018-01-07 20:00,4,0,0,2,1.3,0.4,38,,3,13,16,direct
2018-01-07 21:00,4,0,0,3,1.2,0.6,39,,0,7,7,www.google.com
2018-01-07 22:00,4,0,0,3,1.1,0.5,40,,0,1,1,Youtube
2018-01-07 23:00,4,0,0,2,1.1,0.6,39,,0,5,5,direct
2018-01-08 0:00,4,0,0,2,0.9,1.1,42,,0,2,2,facebook page
2018-01-08 1:00,4,0,0,2,0.9,0.2,42,,1,8,9,Twitter
2018-01-08 2:00,4,0,0,3,0.8,0.5,42,,0,15,15,www.google.com
2018-01-08 3:00,4,0,0,3,0.9,0.4,43,,0,20,20,Twitter
2018-01-08 4:00,4,0,0,2,1,0.8,43,,5,56,61,direct
2018-01-08 5:00,4,0,0,2,0.8,1,42,,2,60,62,Youtube
2018-01-08 6:00,4,0,0,2,0.8,0.7,45,,8,90,98,Youtube
2018-01-08 7:00,4,0,0,1,0.7,0.8,44,,7,95,102,Youtube
2018-01-08 8:00,4,0,0,1,0.7,0.7,45,,12,83,95,direct
2018-01-08 9:00,4,0,0,1,0.8,0.9,47,,5,69,74,direct
2018-01-08 10:00,4,0,0,1,1.3,0.8,43,,8,68,76,www.daum.com
2018-01-08 11:00,4,0,0,1,1.7,0.6,37,,5,64,69,facebook page
2018-01-08 12:00,4,0,0,1,2.7,2.7,33,,3,52,55,NAVER Blog
2018-01-08 13:00,4,0,0,1,3,1.6,32,,4,26,30,www.bing.com
2018-01-08 14:00,4,0,0,1,3.4,1.4,31,,0,28,28,Youtube
2018-01-08 15:00,4,0,0,1,3.9,1.8,33,,2,35,37,www.instagram.com
2018-01-08 16:00,4,0,0,1,3.5,1.7,36,,1,33,34,Youtube
2018-01-08 17:00,4,0,0,1,2.7,2.8,50,,0,22,22,NAVER Blog
2018-01-08 18:00,4,0,0,1,1.5,2.5,70,,1,24,25,Twitter
2018-01-08 19:00,4,0,0,1,0.9,1.6,88,0.5,0,12,12,NAVER Blog
2018-01-08 20:00,4,0,0,1,1,1.9,89,1,0,11,11,Twitter    
2018-01-08 21:00,4,0,0,1,0.7,6.7,77,1,0,4,4,www.instagram.com
2018-01-08 22:00,4,0,0,1,0.1,4.6,68,1,0,1,1,Youtube
2018-01-08 23:00,4,0,0,1,-0.6,4.2,62,1,0,1,1,facebook page
2018-01-09 0:00,4,0,0,1,-1.2,4.6,67,1,0,1,1,www.instagram.com
2018-01-09 1:00,4,0,0,1,-1.9,5,69,1,1,5,6,Twitter
2018-01-09 2:00,4,0,0,1,-2.9,3.3,66,1,0,10,10,facebook page
2018-01-09 3:00,4,0,0,1,-3.4,3.2,67,0.9,0,19,19,Twitter    
2018-01-09 4:00,4,0,0,1,-4.3,4.4,59,0.9,0,49,49,Youtube
2018-01-09 5:00,4,0,0,1,-5.1,3.2,48,0.9,2,47,49,Youtube
2018-01-09 6:00,4,0,0,1,-5.6,3.7,52,0.9,4,79,83,Youtube
2018-01-09 7:00,4,0,0,1,-5.9,3.1,57,0.8,6,69,75,facebook page
2018-01-09 8:00,4,0,0,1,-6,3.2,64,0.7,8,64,72,direct
2018-01-09 9:00,4,0,0,1,-6,2.5,61,0.6,5,77,82,direct
2018-01-09 10:00,4,0,0,1,-4.8,3,57,0.5,13,79,92,Twitter    
2018-01-09 11:00,4,0,0,1,-3.9,4.5,51,0.5,3,59,62,Twitter
2018-01-09 12:00,4,0,0,1,-2.7,2.4,45,0.4,4,44,48,Youtube
2018-01-09 13:00,4,0,0,1,-2.6,4,45,0.3,1,40,41,facebook page
2018-01-09 14:00,4,0,0,1,-1.8,3.7,45,0.2,0,38,38,Youtube
2018-01-09 15:00,4,0,0,1,-2.4,4.6,51,,1,19,20,direct
2018-01-09 16:00,4,0,0,1,-2.4,3.3,56,,5,10,15,www.google.com
2018-01-09 17:00,4,0,0,1,-2.9,3.6,66,,0,6,6,Youtube
2018-01-09 18:00,4,0,1,1,-3.8,1.7,58,,2,3,5,www.instagram.com
2018-01-09 19:00,4,0,1,1,-4.5,0.6,57,,1,0,1,Youtube
2018-01-09 20:00,4,0,1,1,-4.9,0.6,59,,0,3,3,Youtube
2018-01-09 21:00,4,0,1,1,-4.8,0.9,59,,0,1,1,Youtube
2018-01-09 22:00,4,0,1,1,-4.2,1.6,67,,1,2,3,Twitter
2018-01-09 23:00,4,0,1,1,-4.9,0.7,80,0.2,0,3,3,www.instagram.com
2018-01-10 0:00,4,0,1,1,-5.2,0.8,82,0.5,0,31,31,www.instagram.com
2018-01-10 1:00,4,0,1,1,-5.6,1.7,75,0.8,2,75,77,www.bing.com
2018-01-10 2:00,4,0,1,2,-5.7,1.2,72,0.8,4,184,188,Youtube
2018-01-10 3:00,4,0,1,2,-6.1,1.1,70,0.8,2,92,94,www.google.com
2018-01-10 4:00,4,0,1,2,-6.6,2.2,72,0.8,0,31,31,Youtube
2018-01-10 5:00,4,0,1,2,-7.3,1.6,75,0.8,2,28,30,www.instagram.com
2018-01-10 6:00,4,0,1,2,-7.7,1.1,74,0.8,5,47,52,www.google.com
2018-01-10 7:00,4,0,1,2,-8,1.8,70,0.7,4,50,54,facebook page
2018-01-10 8:00,4,0,1,2,-7.9,2.6,67,0.7,0,47,47,www.bing.com
2018-01-10 9:00,4,0,1,2,-7.7,3.6,62,0.7,2,43,45,Youtube
2018-01-10 10:00,4,0,1,1,-6.9,3.2,53,0.6,4,70,74,Youtube
2018-01-10 11:00,4,0,1,1,-6.4,4.5,49,0.5,4,174,178,direct
2018-01-10 12:00,4,0,1,1,-5.6,4.5,44,0.5,1,154,155,Youtube
2018-01-10 13:00,4,0,1,1,-5.1,4.7,43,0.4,3,92,95,Twitter
2018-01-10 14:00,4,0,1,1,-5.3,5.3,37,0.3,1,73,74,www.instagram.com
2018-01-10 15:00,4,0,1,1,-5.3,4.8,33,0.3,1,37,38,Youtube
2018-01-10 16:00,4,0,1,1,-5.4,3.9,30,0.2,2,22,24,Youtube
2018-01-10 17:00,4,0,1,1,-6.5,4,34,,0,18,18,Twitter
2018-01-10 18:00,4,0,1,1,-7.8,4.5,32,,2,10,12,www.google.com
2018-01-10 19:00,4,0,1,1,-8.5,2.9,35,,0,3,3,Youtube
2018-01-10 20:00,4,0,1,2,-8.9,2.3,41,,0,3,3,NAVER Blog
2018-01-10 21:00,4,0,1,2,-9.4,2,47,,0,6,6,Youtube
2018-01-10 22:00,4,0,1,2,-9.7,2.8,51,,0,27,27,Youtube
2018-01-10 23:00,4,0,1,2,-10.2,3.3,53,,2,97,99,Youtube
2018-01-11 0:00,4,0,1,2,-10.3,2.4,54,,3,214,217,direct
2018-01-11 1:00,4,0,1,2,-10.6,2.9,55,,3,127,130,facebook page
2018-01-11 2:00,4,0,1,2,-10.9,2.7,57,,3,51,54,www.bing.com
2018-01-11 3:00,4,0,1,2,-11.2,2.9,59,,4,31,35,www.instagram.com
2018-01-11 4:00,4,0,1,2,-11.5,2.3,57,,2,55,57,www.google.com
2018-01-11 5:00,4,0,1,2,-11.9,1.8,61,,6,46,52,Twitter
2018-01-11 6:00,4,0,1,2,-12,2.3,61,,3,60,63,www.google.com
2018-01-11 7:00,4,0,1,2,-12.3,2.3,59,,2,45,47,www.google.com
2018-01-11 8:00,4,0,1,2,-12.6,1.6,61,,4,72,76,Youtube
2018-01-11 9:00,4,0,1,2,-12,2.6,53,,6,130,136,Youtube
2018-01-11 10:00,4,0,1,3,-11.1,3.7,46,,1,94,95,www.bing.com
2018-01-11 11:00,4,0,1,3,-10.2,3.5,41,,0,51,51,Youtube
2018-01-11 12:00,4,0,1,3,-8.6,2.6,40,,0,32,32,facebook page
2018-01-11 13:00,4,0,1,3,-8.6,3.4,41,,0,20,20,www.google.com
2018-01-11 14:00,4,0,1,3,-7.4,3.3,38,,1,28,29,www.naver.com
2018-01-11 15:00,4,0,1,3,-8.3,3.8,42,,1,18,19,Youtube
2018-01-11 16:00,4,0,1,2,-8.2,2.8,39,,0,7,7,www.bing.com
2018-01-11 17:00,4,0,1,2,-9.3,2.8,43,,0,6,6,www.google.com
2018-01-11 18:00,4,0,1,1,-10.4,2.3,43,,0,1,1,Youtube
2018-01-11 19:00,4,0,1,1,-10.9,3,44,,0,5,5,www.google.com
2018-01-11 20:00,4,0,1,1,-11.6,1.8,49,,0,16,16,www.instagram.com
2018-01-11 21:00,4,0,1,1,-12.4,2.2,51,,0,54,54,direct
2018-01-11 22:00,4,0,1,1,-12.9,2.8,52,,3,125,128,www.google.com
2018-01-11 23:00,4,0,1,1,-13.2,1.5,51,,3,78,81,Youtube
2018-01-12 0:00,4,0,1,1,-13.6,1.6,49,,0,39,39,Youtube
2018-01-12 1:00,4,0,1,1,-13.7,3,47,,3,32,35,www.bing.com
2018-01-12 2:00,4,0,1,1,-13.8,2.6,43,,3,52,55,Youtube
2018-01-12 3:00,4,0,1,1,-14.1,1.8,45,,0,49,49,www.instagram.com
2018-01-12 4:00,4,0,1,1,-14.3,2,45,,0,44,44,NA
2018-01-12 5:00,4,0,1,1,-14.6,1.1,45,,1,48,49,Youtube
2018-01-12 6:00,4,0,1,1,-14.9,2.3,45,,5,63,68,Youtube
2018-01-12 7:00,4,0,1,1,-15.1,0.9,45,,0,139,139,Youtube
2018-01-12 8:00,4,0,1,1,-15.1,1.2,44,,2,135,137,www.google.com
2018-01-12 9:00,4,0,1,1,-14.9,1.2,40,,1,82,83,Youtube
2018-01-12 10:00,4,0,1,1,-13,2.2,37,,2,54,56,Youtube
2018-01-12 11:00,4,0,1,1,-11.2,2.4,31,,0,57,57,www.bing.com
2018-01-12 12:00,4,0,1,1,-9.6,2,27,,1,32,33,Youtube
2018-01-12 13:00,4,0,1,1,-8.2,2,29,,1,19,20,www.instagram.com
2018-01-12 14:00,4,0,1,1,-7.2,2.3,28,,1,6,7,www.instagram.com
2018-01-12 15:00,4,0,1,1,-6.5,2.4,26,,0,2,2,facebook page
2018-01-12 16:00,4,0,1,1,-5.8,1.1,21,,0,2,2,Twitter    
2018-01-12 17:00,4,0,1,1,-6.5,1.5,22,,0,3,3,Youtube
2018-01-12 18:00,4,0,1,1,-7.5,2,28,,0,4,4,www.google.com
2018-01-12 19:00,4,0,1,1,-8.2,1.1,32,,0,3,3,facebook page
2018-01-12 20:00,4,0,1,1,-7.9,1.4,31,,0,28,28,direct
2018-01-12 21:00,4,0,1,1,-7.4,1.4,33,,0,72,72,NAVER Blog
2018-01-12 22:00,4,0,1,1,-6.9,1.6,39,,5,197,202,www.instagram.com
2018-01-12 23:00,4,0,1,1,-6.7,1.3,36,,2,137,139,NAVER Blog
2018-01-13 0:00,4,0,1,2,-6.6,1.6,39,,2,36,38,www.instagram.com
2018-01-13 1:00,4,0,1,2,-6.5,0.5,45,,4,33,37,Youtube
2018-01-13 2:00,4,0,1,1,-6.4,0.9,40,,3,49,52,direct
2018-01-13 3:00,4,0,1,1,-6.5,0.7,42,,2,81,83,Twitter
2018-01-13 4:00,4,0,1,1,-6.4,0.8,46,,3,39,42,direct
2018-01-13 5:00,4,0,1,1,-6.3,0.8,51,,5,55,60,NAVER Blog
2018-01-13 6:00,4,0,1,1,-6.4,0.6,59,,2,76,78,www.google.com
2018-01-13 7:00,4,0,1,1,-6.5,0.6,68,,4,158,162,Youtube
2018-01-13 8:00,4,0,1,1,-6.5,0.8,72,0.2,3,141,144,www.daum.com
2018-01-13 9:00,4,0,1,1,-6.3,0.6,76,0.4,1,98,99,Youtube
2018-01-13 10:00,4,0,1,1,-5.5,0.7,72,0.6,0,64,64,www.instagram.com
2018-01-13 11:00,4,0,1,1,-4.8,1,70,0.6,0,40,40,Youtube
2018-01-13 12:00,4,0,1,1,-3.7,1.1,66,0.4,0,30,30,Youtube
2018-01-13 13:00,4,0,1,1,-2.5,1.4,62,,1,14,15,Youtube
2018-01-13 14:00,4,0,1,1,-1.8,0.7,62,,0,14,14,Youtube
2018-01-13 15:00,4,0,1,1,-1.5,0.9,62,,0,5,5,facebook page
2018-01-13 16:00,4,0,1,1,-1.2,0.9,63,,0,1,1,Twitter    
2018-01-13 17:00,4,0,1,1,-1.4,1,68,,0,1,1,www.bing.com
2018-01-13 18:00,4,0,1,1,-2.6,1,73,,0,8,8,www.google.com
2018-01-13 19:00,4,0,1,1,-3.3,0.8,76,,0,17,17,Youtube
2018-01-13 20:00,4,0,1,1,-3.9,1.1,78,,0,70,70,Youtube
2018-01-13 21:00,4,0,1,1,-4.1,0.7,79,,2,156,158,www.bing.com
2018-01-13 22:00,4,0,1,1,-4.3,0.4,81,,0,117,117,Youtube
2018-01-13 23:00,4,0,1,1,-4.4,0.7,81,,4,40,44,Youtube
2018-01-14 0:00,4,0,1,1,-4.4,0.7,81,,6,47,53,Youtube
2018-01-14 1:00,4,0,1,1,-3.7,0.9,79,,2,59,61,Youtube
2018-01-14 2:00,4,0,1,1,-3.5,1,78,,4,73,77,Twitter    
2018-01-14 3:00,4,0,1,1,-3.6,1.6,78,,5,59,64,www.google.com
2018-01-14 4:00,4,0,1,1,-4,1.2,79,,9,59,68,www.bing.com
2018-01-14 5:00,4,0,1,1,-4.2,1.2,79,,3,87,90,Youtube
2018-01-14 6:00,4,0,1,1,-4.3,1.1,79,,4,155,159,facebook page
2018-01-14 7:00,4,0,1,1,-4.4,1.4,80,,5,134,139,www.daum.com
2018-01-14 8:00,4,0,1,1,-3.8,0.8,79,,3,89,92,Youtube
2018-01-14 9:00,4,0,1,1,-3.4,1.6,77,,0,68,68,direct
2018-01-14 10:00,4,0,1,1,-2.1,1.7,72,,4,48,52,Youtube
2018-01-14 11:00,4,0,1,2,-0.5,0.7,64,,2,34,36,Youtube
2018-01-14 12:00,4,0,1,2,1.2,0.8,58,,1,26,27,www.daum.com
2018-01-14 13:00,4,0,0,1,3,1.4,52,,3,25,28,Youtube
2018-01-14 14:00,4,0,0,2,3.7,0.6,53,,2,18,20,Youtube
2018-01-14 15:00,4,0,0,2,4.6,0.9,50,,0,12,12,direct
